id,word,answer,choices,sentence_with_blank,meaning_jp,sentence_jp
98,comes,comes,come|comes|came|will come,Mr. Smirnov has to have his monthly report done by the time his boss ________ back to the office.,戻る,スミルノフさんは上司がオフィスに戻るまでに月次レポートを仕上げなければなりません。
99,where,where,when|where|why|which,"The other day, James went to the town ________ he was born. It had been a few years since his last visit, but the town had not changed much.",どこ,この前、ジェームズは自分がが生まれた町に行きました。前回の訪問から数年経っていましたが、町はあまり変わっていませんでした。
100,above,above,of|on|above|among,"A beautiful blue bird was flying ________ the tree in Paul’s garden. Paul wanted to take a picture of it, but it quickly flew away.",上を,ポールの庭の木の上を、美しい青い鳥が飛んでいました。ポールは写真を撮りたかったけど、すぐに飛び去ってしまいました。
101,access,access,deliver|access|increase|embarrass,"Silvia tried to buy some concert tickets online. However, she could not ________ the website because many other people were trying to use it at the same time.",アクセスする,シルビアはオンラインでコンサートのチケットを買おうとしましたが、同じ時間に多くの人が使っていたため、ウェブサイトにアクセスできませんでした。
102,tape,tape,bacon|tape|soil|mass,"A : Oh no! A page of my math textbook has fallen out! 
B : Don’t worry. We can fix it with some of this ________.",テープ,"A: ああ、数学の教科書のページが落ちちゃった！ 
B: 心配しないで。このテープで直せるよ。"
103,neighborhood,neighborhood,climate|entrance|neighborhood|monument,"A : Are you happy that you moved to a different part of the city? 
B : Yes, I am. I like my new ________. It’s quiet, the people who live there are friendly, and it’s convenient for shopping, too.",近所,"A: 街の別の場所に引っ越して満足してる？ 
B: うん、満足してるよ。新しい近所は静かで、住んでる人が親切だし、買い物にも便利なんだ。"
104,transfer,transfer,boil|transfer|cause|achieve,"A : Excuse me. How do I get to Parkville Station? 
B : First, take this train to Anderson Station. Then, you need to ________ to one of the trains that go to Colby Station. They all stop at Parkville Station.",乗り換える,"A: すみません、パークビル駅にはどうやって行きますか？ 
B: まず、この電車でアンダーソン駅まで行って。それから、コルビー駅に行く電車のどれかに乗り換えて。全部パークビル駅に停まるよ。"
105,ceiling,ceiling,ceiling|crossing|medium|stadium,Harvey is so tall that he can touch the ________ of his bedroom even when he is standing on the floor.,天井,ハーヴェイはとても背が高いので、床に立ったままでも寝室の天井に手が届きます。
106,steadily,steadily,steadily|willingly|falsely|angrily,The company’s profits have grown ________ because sales of its products have gone up by about 5 percent each year for the last 10 years.,着実に,その会社の利益は、過去10年間で製品の売上が毎年約5％ずつ増えたため、着実に成長しています。
107,affected,affected,hoped|supposed|affected|warned,"A : Was your soccer game ________ by the heavy rain? 
B : No. Luckily, the game had already finished by the time it started raining.",影響を受ける,"A: サッカーの試合は大雨の影響を受けた？ 
B: いいえ。幸い、雨が降り始める前に試合は終わってたよ。"
108,magic,magic,magic|general|wealthy|bitter,"Brenda loves fantasy stories about witches. Yesterday, she read a story about a girl who had ________ powers and used them to help her friends.",魔法の,ブレンダは魔女のファンタジー物語が大好きです。昨日、彼女は魔法の力を持った少女が友達を助けるためにそれを使った物語を読みました。
109,relationship,relationship,population|material|relationship|chapter,"Although Mike and his older brother often fought when they were young, their ________ has gotten better since they grew up. These days, they get along very well.",関係,マイクと彼の兄は子供の頃よくケンカしましたが、成長してからは彼らの関係が良くなりました。最近はとても仲良くしています。
110,matches,matches,matches|joins|lifts|serves,"A : Honey, what do you think of this blue dress? 
B : It’s perfect for you! It ________ the color of your eyes.",似合う,"A: ねえ、この青いドレスどう思う？ 
B: あなたにぴったりだよ！そのドレスはあなたの目の色に似合ってるね。"
